proptype,district,nbhd,style,extwall,stories,year_built,rooms,finishedsqft,units,bdrms,fbath,hbath,lotsize,sale_date,sale_price,sale_year,sale_month
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1966.0,7.0,1492.0,1,3.0,1.0,1.0,9600.0,2023-06-26,175000.0,2023.0,6.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1971.0,6.0,1210.0,1,4.0,2.0,0.0,9800.0,2023-08-04,300000.0,2023.0,8.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1965.0,6.0,1166.0,1,3.0,1.0,1.0,9973.0,2023-04-03,230000.0,2023.0,4.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1966.0,7.0,1285.0,1,3.0,1.0,1.0,9472.0,2023-11-21,250000.0,2023.0,11.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1965.0,6.0,1316.0,1,3.0,1.0,1.0,9000.0,2023-09-27,323000.0,2023.0,9.0
residential,9.0,240.0,ranch,asphalt/other,1.0,1967.0,6.0,1331.0,1,3.0,1.0,1.0,9545.0,2023-08-30,225000.0,2023.0,8.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1974.0,7.0,1480.0,1,3.0,1.0,1.0,8982.0,2023-12-12,305000.0,2023.0,12.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1972.0,6.0,1120.0,1,4.0,1.0,1.0,8100.0,2023-02-22,231000.0,2023.0,2.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1972.0,5.0,1134.0,1,3.0,2.0,0.0,8100.0,2023-02-06,225000.0,2023.0,2.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1972.0,6.0,1120.0,1,4.0,1.0,1.0,7200.0,2023-05-03,235000.0,2023.0,5.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1973.0,6.0,1120.0,1,4.0,1.0,1.0,7200.0,2023-11-03,263000.0,2023.0,11.0
residential,9.0,240.0,ranch,asphalt/other,1.0,1974.0,5.0,906.0,1,3.0,1.0,0.0,7320.0,2023-06-27,230000.0,2023.0,6.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1976.0,5.0,906.0,1,3.0,1.0,0.0,7245.0,2023-09-08,230000.0,2023.0,9.0
