Bdrms,Baths_total,FinishedSqft,Lotsize,Sale_date,Year_Built,Sale_Year,Sale_price
3,1,1346,3600,2023-03-24,1928.0,2023,90000
3,2,983,3600,2021-12-23,1924.0,2021,90000
6,1,1046,3600,2023-01-26,1926.0,2023,91200
3,1,1202,3600,2021-08-16,2004.0,2021,92000
4,2,1708,3600,2021-05-24,1909.0,2021,92500
4,1,1165,3600,2014-03-01,1961.0,2014,95000
3,1,1020,3600,2021-08-11,1925.0,2021,95000
3,1,952,3600,2016-04-01,1926.0,2016,95000
2,1,1200,3600,2021-01-04,1907.0,2021,95000
3,1,1251,3600,2023-11-27,1928.0,2023,95500
3,1,1291,3600,2014-02-01,1928.0,2014,95500
2,1,1072,3600,2022-09-14,1929.0,2022,96000
3,1,1155,3600,2022-06-27,1913.0,2022,96500
3,2,1690,3600,2019-11-01,1919.0,2019,96750
4,2,1351,3600,2020-02-21,1898.0,2020,97000
4,1,1045,3600,2013-11-01,1953.0,2013,97000
4,2,1321,3600,2021-10-08,1925.0,2021,99000
2,1,1527,3600,2022-09-07,1929.0,2022,99800
3,1,1116,3600,2020-04-17,1927.0,2020,99900
3,1,1158,3600,2023-04-20,1890.0,2023,100000
3,2,2016,3600,2022-10-26,1894.0,2022,100000
3,2,955,3600,2021-03-22,1938.0,2021,100000
3,1,1565,3600,2016-01-01,1922.0,2016,100000
4,2,1683,3600,2023-09-05,1927.0,2023,101100
3,1,1203,3600,2015-08-01,1927.0,2015,102100
4,1,1560,3600,2023-05-08,1912.0,2023,104000
3,1,1392,3600,2022-06-22,1928.0,2022,105000
3,2,1152,3600,2021-06-28,2006.0,2021,105000
3,1,1561,3600,2017-02-01,1923.0,2017,105000
2,1,863,3600,2023-06-27,1890.0,2023,105000
2,1,792,3600,2020-03-05,1892.0,2020,105000
3,1,954,3600,2014-08-01,1926.0,2014,105200
4,2,1193,3600,2021-05-27,1971.0,2021,106000
3,1,1135,3600,2021-04-01,1927.0,2021,107000
6,1,1022,3600,2022-03-14,1914.0,2022,109000
5,2,1524,3600,2019-04-22,1930.0,2019,109000
3,1,1044,3600,2020-04-24,1888.0,2020,109800
3,2,1314,3600,2021-10-29,1925.0,2021,109900
3,1,1132,3600,2016-10-01,1922.0,2016,109900
4,1,1087,3600,2022-06-01,1901.0,2022,110000
3,1,996,3600,2022-06-23,1929.0,2022,110000
3,1,1571,3600,2022-11-04,1902.0,2022,110000
3,1,1318,3600,2022-09-30,1900.0,2022,110000
3,1,1382,3600,2018-05-01,1927.0,2018,110000
2,1,1072,3600,2023-08-21,1929.0,2023,111500
4,1,1456,3600,2016-11-01,1924.0,2016,112000
3,1,1420,3600,2015-08-01,1918.0,2015,112000
4,2,1135,3600,2016-06-01,1952.0,2016,112900
3,1,1486,3600,2018-02-01,1925.0,2018,113000
3,2,872,3600,2021-01-15,1909.0,2021,113700
3,1,1314,3600,2022-03-14,1945.0,2022,115000
2,1,1073,3600,2021-06-18,1919.0,2021,115000
4,2,1400,3600,2016-05-01,1952.0,2016,116000
3,1,1470,3600,2018-07-01,1926.0,2018,116800
2,1,1026,3600,2016-06-01,1924.0,2016,117000
3,2,1164,3600,2023-12-12,1928.0,2023,117900
3,1,1197,3600,2021-07-28,1929.0,2021,118000
3,1,1204,3600,2018-04-01,1926.0,2018,119900
4,1,1236,3600,2022-09-01,1895.0,2022,120000
3,1,1218,3600,2022-04-26,1925.0,2022,120000
3,1,1090,3600,2017-10-01,1923.0,2017,120000
4,2,1244,3600,2017-11-01,1925.0,2017,120500
8,2,1553,3600,2022-03-30,1911.0,2022,122500
4,2,1629,3600,2019-06-28,1919.0,2019,122500
4,1,1554,3600,2023-03-13,1928.0,2023,123000
4,3,1909,3600,2023-03-28,1903.0,2023,125000
3,1,1132,3600,2023-05-03,1904.0,2023,125000
3,1,1534,3600,2021-10-14,1891.0,2021,125000
2,3,788,3600,2020-05-22,1910.0,2020,125000
4,1,1386,3600,2021-01-14,1922.0,2021,127500
3,1,1004,3600,2016-03-01,1952.0,2016,128000
3,1,962,3600,2016-12-01,1923.0,2016,128000
4,1,1192,3600,2020-05-27,1924.0,2020,129500
3,1,1050,3600,2020-11-06,1898.0,2020,129779
4,1,1431,3600,2017-08-01,1926.0,2017,129900
3,2,1280,3600,2022-10-26,2014.0,2022,129900
7,2,1608,3600,2022-09-15,1918.0,2022,130000
4,1,1117,3600,2017-02-01,1953.0,2017,130000
3,1,1341,3600,2021-06-30,1919.0,2021,130000
3,2,1150,3600,2017-03-01,1973.0,2017,134000
4,1,1349,3600,2022-04-18,1924.0,2022,135000
4,1,1565,3600,2021-09-09,1894.0,2021,135000
4,2,1393,3600,2019-04-25,1929.0,2019,135000
3,2,1069,3600,2023-06-20,1951.0,2023,135000
3,1,1424,3600,2023-08-04,1902.0,2023,135000
3,1,948,3600,2023-06-23,1924.0,2023,135000
3,1,1516,3600,2022-05-07,1927.0,2022,135000
3,1,1091,3600,2018-08-01,1941.0,2018,135000
3,1,1102,3600,2018-10-01,1951.0,2018,135000
